subjectId,runId,blockId,trialId,condition,leftAnswer,rightAnswer,choiceDuration,isiDuration,feedbackDuration,itiDuration,stimOnset,itiOffset,leftColor,rightColor,mu1,mu2,sd1,sd2
uep050,7,3,1,RR,-13.0,-4.0,2,2.9179739733545227,1,6.398236776502492,246.33888229501076,258.6550930448678,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,2,RR,-19.0,-2.0,2,2.1749949071635175,1,6.5745114227393415,258.6550930448678,270.40459937477067,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,3,RR,-16.0,-9.0,2,1.8687326901339163,1,6.479046630219054,270.40459937477067,281.75237869512364,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,4,RR,-18.0,-4.0,2,2.475049350912101,1,5.4543640141886,281.75237869512364,292.6817920602244,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,5,RR,-16.0,-4.0,2,1.1809535552110566,1,6.365869044467351,292.6817920602244,303.22861465990275,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,6,RR,-16.0,-4.0,2,2.08470649062413,1,6.781666239632048,303.22861465990275,315.0949873901589,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,7,RR,-14.0,-5.0,2,1.7953576365327701,1,5.590649128493181,315.0949873901589,325.4809941551848,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,8,RR,-10.0,3.0,2,2.922914025045356,1,6.161601672427091,325.4809941551848,337.56550985265727,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,9,RR,-12.0,-11.0,2,2.39585786900114,1,5.666469750287483,337.56550985265727,348.6278374719459,5,7,-16.0,-4.0,4.0,4.0
uep050,7,3,10,RR,-14.0,-4.0,2,1.5229381446555994,1,5.491669193866043,348.6278374719459,358.6424448104675,5,7,-16.0,-4.0,4.0,4.0
