1.3039 	WARNING 	pyo audio lib was requested but not loaded: dlopen(/Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so, 2): Library not loaded: @executable_path/../Frameworks/liblo.7.dylib
  Referenced from: /Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so
  Reason: Incompatible library version: _pyo.so requires version 10.0.0 or later, but liblo.7.dylib provides version 9.0.0
11.2048 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10e0f5dd0>, name='window1', pos=[0, 0], screen=0, size=array([1280, 1024]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
11.2049 	EXP 	window1: recordFrameIntervals = False
11.3697 	EXP 	window1: recordFrameIntervals = True
11.5533 	EXP 	window1: recordFrameIntervals = False
11.6450 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.6613 	EXP 	Created runInstr = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='runInstr', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
11.6685 	EXP 	Created fixationCross1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='fixationCross1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.6806 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'New block is starting', units=u'norm', win=Window(...), wrapWidth=1)
11.6834 	EXP 	Created ibifixationCross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='ibifixationCross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.8073 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10b794090>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
11.8095 	EXP 	Created rightBox = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-2.0, fillColor=array([ 0.,  1.,  0.]), fillColorSpace='rgb', fillRGB=array([ 0.,  1.,  0.]), interpolate=True, lineColor=array([ 0.,  0.,  0.]), lineColorSpace='rgb', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1, name='rightBox', opacity=1.0, ori=array(0.0), pos=array([ 0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
11.8099 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10b794090>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
11.8122 	EXP 	Created leftBox = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.,  0.,  1.]), fillColorSpace='rgb', fillRGB=array([ 0.,  0.,  1.]), interpolate=True, lineColor=array([ 0.,  0.,  0.]), lineColorSpace='rgb', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1, name='leftBox', opacity=1.0, ori=array(0.0), pos=array([-0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
11.8126 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10b794090>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
11.8142 	EXP 	Created leftHighlight = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-5.0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor=array([ 0.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 0.,  1.,  1.]), lineWidth=10, name='leftHighlight', opacity=1.0, ori=array(0.0), pos=array([-0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
11.8146 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10b794090>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
11.8164 	EXP 	Created rightHighlight = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-6.0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor=array([ 0.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 0.,  1.,  1.]), lineWidth=10, name='rightHighlight', opacity=1.0, ori=array(0.0), pos=array([ 0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
11.8279 	EXP 	Created leftAnswerText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.15, italic=False, name='leftAnswerText', opacity=1.0, ori=0, pos=array([-0.25,  0.  ]), rgb=array([ 0.,  0.,  0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
11.8318 	EXP 	Created rightAnswerText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.15, italic=False, name='rightAnswerText', opacity=1.0, ori=0, pos=array([ 0.25,  0.  ]), rgb=array([ 0.,  0.,  0.]), text=u'Y', units=u'norm', win=Window(...), wrapWidth=1)
11.8437 	EXP 	Created L_condition = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='L_condition', opacity=1.0, ori=0, pos=array([-0.25,  0.32]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
11.8498 	EXP 	Created R_condition = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='R_condition', opacity=1.0, ori=0, pos=array([ 0.25,  0.32]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
11.8528 	EXP 	Created fixationITIcross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-12.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='fixationITIcross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.8556 	EXP 	Created fixationCross1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='fixationCross1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
11.8702 	EXP 	instrText: autoDraw = True
546.7031 	DATA 	Keypress: space
546.7072 	EXP 	Imported csv/uep001_1.csv as conditions, 4 conditions, 1 params
546.7077 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
546.7083 	EXP 	New trial (rep=0, index=0): {'runFilename': u'csv/uep001_run1.csv'}
546.7143 	EXP 	instrText: autoDraw = False
546.7143 	EXP 	runInstr: autoDraw = True
558.1810 	DATA 	Keypress: space
558.1826 	EXP 	launchScan: vol: 141  TR: 2.500s  skip: 0  sync: 'equal'
558.2322 	EXP 	window1: mouseVisible = False
558.2613 	EXP 	runInstr: autoDraw = False
599.2273 	DATA 	Keypress: equal
599.2280 	EXP 	launchScan: start of scan
600.2504 	EXP 	fixationCross1: autoDraw = True
601.2352 	DATA 	Keypress: equal
603.2347 	DATA 	Keypress: equal
605.2342 	DATA 	Keypress: equal
607.2340 	DATA 	Keypress: equal
609.2330 	DATA 	Keypress: equal
610.2320 	EXP 	Imported csv/uep001_run1.csv as conditions, 4 conditions, 1 params
610.2326 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
610.2332 	EXP 	New trial (rep=0, index=0): {'blockFilename': u'csv/uep001_run1_block1.csv'}
610.2458 	EXP 	fixationCross1: autoDraw = False
610.2458 	EXP 	fixationCross1: autoDraw = False
610.2458 	EXP 	text: autoDraw = True
611.2324 	DATA 	Keypress: equal
613.2319 	DATA 	Keypress: equal
613.2449 	EXP 	text: autoDraw = False
613.2449 	EXP 	text: autoDraw = False
613.2449 	EXP 	ibifixationCross: autoDraw = True
615.2315 	DATA 	Keypress: equal
616.2492 	EXP 	Imported csv/uep001_run1_block1.csv as conditions, 10 conditions, 19 params
616.2495 	EXP 	Created sequence: sequential, trialTypes=10, nReps=1, seed=None
616.2501 	EXP 	New trial (rep=0, index=0): {'blockId': 1, 'sd1': 4.0, 'sd2': 0, 'stimOnset': 16.0, 'choiceDuration': 2, 'leftColor': 7, 'itiDuration': 6.2243211335767494, 'mu1': -14.0, 'leftAnswer': -19.0, 'trialId': 1, 'condition': u'RS', 'itiOffset': 27.746043381670557, 'mu2': -7.0, 'rightColor': 5, 'subjectId': u'uep001', 'feedbackDuration': 1, 'runId': 1, 'isiDuration': 2.5217222480938042, 'rightAnswer': -7.0}
616.2779 	EXP 	ibifixationCross: autoDraw = False
616.2779 	EXP 	ibifixationCross: autoDraw = False
616.2779 	EXP 	leftHighlight: opacity = 0.0
616.2779 	EXP 	rightHighlight: opacity = 0.0
616.2779 	EXP 	leftAnswerText: opacity = 0.0
616.2779 	EXP 	rightAnswerText: opacity = 0.0
616.2779 	EXP 	leftAnswerText: text = '-19'
616.2779 	EXP 	rightAnswerText: text = '-7'
616.2779 	EXP 	fixationITIcross: color = 'white (named)'
616.2779 	EXP 	leftBox: fillColor = (0.86, 0.33999999999999997, 0.69879999999999964)
616.2779 	EXP 	rightBox: fillColor = (0.33999999999999997, 0.43879999999999986, 0.86)
616.2779 	EXP 	L_condition: text = u'R'
616.2779 	EXP 	R_condition: text = u'S'
616.2779 	EXP 	rightBox: autoDraw = True
616.2779 	EXP 	leftBox: autoDraw = True
616.2779 	EXP 	leftHighlight: autoDraw = True
616.2779 	EXP 	rightHighlight: autoDraw = True
616.2779 	EXP 	L_condition: autoDraw = True
616.2779 	EXP 	R_condition: autoDraw = True
617.2326 	DATA 	Keypress: equal
617.5154 	DATA 	Keypress: 2
617.5401 	EXP 	window1: recordFrameIntervals = False
617.5603 	EXP 	rightHighlight: opacity = 1
617.5603 	EXP 	leftAnswerText: text = u'-19'
617.5603 	EXP 	rightAnswerText: text = u'-7'
617.5605 	EXP 	window1: recordFrameIntervals = False
619.8673 	DATA 	Keypress: equal
620.1114 	EXP 	rightAnswerText: opacity = 1
620.1114 	EXP 	leftAnswerText: text = u'-19'
620.1114 	EXP 	rightAnswerText: text = u'-7'
620.1114 	EXP 	leftAnswerText: autoDraw = True
620.1114 	EXP 	rightAnswerText: autoDraw = True
621.0114 	EXP 	window1: recordFrameIntervals = False
621.0277 	EXP 	rightBox: autoDraw = False
621.0277 	EXP 	leftBox: autoDraw = False
621.0277 	EXP 	leftHighlight: autoDraw = False
621.0277 	EXP 	rightHighlight: autoDraw = False
621.0277 	EXP 	leftAnswerText: autoDraw = False
621.0277 	EXP 	rightAnswerText: autoDraw = False
621.0277 	EXP 	L_condition: autoDraw = False
621.0277 	EXP 	R_condition: autoDraw = False
621.0277 	EXP 	fixationITIcross: autoDraw = True
621.0279 	EXP 	window1: recordFrameIntervals = False
626.7405 	DATA 	Keypress: equal
626.7442 	DATA 	Keypress: equal
626.7479 	DATA 	Keypress: equal
626.9627 	EXP 	New trial (rep=0, index=1): {'blockId': 1, 'sd1': 4.0, 'sd2': 0, 'stimOnset': 27.746043381670557, 'choiceDuration': 2, 'leftColor': 7, 'itiDuration': 6.0452685626343357, 'mu1': -14.0, 'leftAnswer': -19.0, 'trialId': 2, 'condition': u'RS', 'itiOffset': 38.649859502395572, 'mu2': -7.0, 'rightColor': 5, 'subjectId': u'uep001', 'feedbackDuration': 1, 'runId': 1, 'isiDuration': 1.8585475580906761, 'rightAnswer': -7.0}
626.9926 	EXP 	fixationITIcross: autoDraw = False
626.9926 	EXP 	rightBox: autoDraw = False
626.9926 	EXP 	leftBox: autoDraw = False
626.9926 	EXP 	leftHighlight: autoDraw = False
626.9926 	EXP 	rightHighlight: autoDraw = False
626.9926 	EXP 	leftAnswerText: autoDraw = False
626.9926 	EXP 	rightAnswerText: autoDraw = False
626.9926 	EXP 	L_condition: autoDraw = False
626.9926 	EXP 	R_condition: autoDraw = False
626.9926 	EXP 	fixationITIcross: autoDraw = False
626.9926 	EXP 	leftHighlight: opacity = 0.0
626.9926 	EXP 	rightHighlight: opacity = 0.0
626.9926 	EXP 	leftAnswerText: opacity = 0.0
626.9926 	EXP 	rightAnswerText: opacity = 0.0
626.9926 	EXP 	leftAnswerText: text = '-19'
626.9926 	EXP 	rightAnswerText: text = '-7'
626.9926 	EXP 	fixationITIcross: color = 'white (named)'
626.9926 	EXP 	leftBox: fillColor = (0.86, 0.33999999999999997, 0.69879999999999964)
626.9926 	EXP 	rightBox: fillColor = (0.33999999999999997, 0.43879999999999986, 0.86)
626.9926 	EXP 	L_condition: text = u'R'
626.9926 	EXP 	R_condition: text = u'S'
626.9926 	EXP 	rightBox: autoDraw = True
626.9926 	EXP 	leftBox: autoDraw = True
626.9926 	EXP 	leftHighlight: autoDraw = True
626.9926 	EXP 	rightHighlight: autoDraw = True
626.9926 	EXP 	L_condition: autoDraw = True
626.9926 	EXP 	R_condition: autoDraw = True
627.2299 	DATA 	Keypress: equal
627.6797 	DATA 	Keypress: 1
627.7204 	EXP 	window1: recordFrameIntervals = False
627.7423 	EXP 	leftHighlight: opacity = 1
627.7423 	EXP 	leftAnswerText: text = u'-19'
627.7423 	EXP 	rightAnswerText: text = u'-7'
627.7425 	EXP 	window1: recordFrameIntervals = False
629.3845 	DATA 	Keypress: equal
629.6252 	EXP 	leftAnswerText: opacity = 1
629.6252 	EXP 	leftAnswerText: text = u'-19'
629.6252 	EXP 	rightAnswerText: text = u'-7'
629.6252 	EXP 	leftAnswerText: autoDraw = True
629.6252 	EXP 	rightAnswerText: autoDraw = True
630.5252 	EXP 	window1: recordFrameIntervals = False
630.5416 	EXP 	rightBox: autoDraw = False
630.5416 	EXP 	leftBox: autoDraw = False
630.5416 	EXP 	leftHighlight: autoDraw = False
630.5416 	EXP 	rightHighlight: autoDraw = False
630.5416 	EXP 	leftAnswerText: autoDraw = False
630.5416 	EXP 	rightAnswerText: autoDraw = False
630.5416 	EXP 	L_condition: autoDraw = False
630.5416 	EXP 	R_condition: autoDraw = False
630.5416 	EXP 	fixationITIcross: autoDraw = True
630.5418 	EXP 	window1: recordFrameIntervals = False
637.6409 	DATA 	Keypress: equal
637.6445 	DATA 	Keypress: equal
637.6475 	DATA 	Keypress: equal
637.6502 	DATA 	Keypress: equal
637.8588 	EXP 	New trial (rep=0, index=2): {'blockId': 1, 'sd1': 4.0, 'sd2': 0, 'stimOnset': 38.649859502395572, 'choiceDuration': 2, 'leftColor': 7, 'itiDuration': 6.0714277903627645, 'mu1': -14.0, 'leftAnswer': -14.0, 'trialId': 3, 'condition': u'RS', 'itiOffset': 48.972520423142072, 'mu2': -7.0, 'rightColor': 5, 'subjectId': u'uep001', 'feedbackDuration': 1, 'runId': 1, 'isiDuration': 1.2512331303837363, 'rightAnswer': -7.0}
637.8895 	EXP 	fixationITIcross: autoDraw = False
637.8895 	EXP 	rightBox: autoDraw = False
637.8895 	EXP 	leftBox: autoDraw = False
637.8895 	EXP 	leftHighlight: autoDraw = False
637.8895 	EXP 	rightHighlight: autoDraw = False
637.8895 	EXP 	leftAnswerText: autoDraw = False
637.8895 	EXP 	rightAnswerText: autoDraw = False
637.8895 	EXP 	L_condition: autoDraw = False
637.8895 	EXP 	R_condition: autoDraw = False
637.8895 	EXP 	fixationITIcross: autoDraw = False
637.8895 	EXP 	leftHighlight: opacity = 0.0
637.8895 	EXP 	rightHighlight: opacity = 0.0
637.8895 	EXP 	leftAnswerText: opacity = 0.0
637.8895 	EXP 	rightAnswerText: opacity = 0.0
637.8895 	EXP 	leftAnswerText: text = '-14'
637.8895 	EXP 	rightAnswerText: text = '-7'
637.8895 	EXP 	fixationITIcross: color = 'white (named)'
637.8895 	EXP 	leftBox: fillColor = (0.86, 0.33999999999999997, 0.69879999999999964)
637.8895 	EXP 	rightBox: fillColor = (0.33999999999999997, 0.43879999999999986, 0.86)
637.8895 	EXP 	L_condition: text = u'R'
637.8895 	EXP 	R_condition: text = u'S'
637.8895 	EXP 	rightBox: autoDraw = True
637.8895 	EXP 	leftBox: autoDraw = True
637.8895 	EXP 	leftHighlight: autoDraw = True
637.8895 	EXP 	rightHighlight: autoDraw = True
637.8895 	EXP 	L_condition: autoDraw = True
637.8895 	EXP 	R_condition: autoDraw = True
638.5432 	DATA 	Keypress: 1
638.5666 	EXP 	window1: recordFrameIntervals = False
638.5891 	EXP 	leftHighlight: opacity = 1
638.5891 	EXP 	leftAnswerText: text = u'-14'
638.5891 	EXP 	rightAnswerText: text = u'-7'
638.5893 	EXP 	window1: recordFrameIntervals = False
639.6231 	DATA 	Keypress: equal
639.8723 	EXP 	leftAnswerText: opacity = 1
639.8723 	EXP 	leftAnswerText: text = u'-14'
639.8723 	EXP 	rightAnswerText: text = u'-7'
639.8723 	EXP 	leftAnswerText: autoDraw = True
