1.2641 	WARNING 	pyo audio lib was requested but not loaded: dlopen(/Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so, 2): Library not loaded: @executable_path/../Frameworks/liblo.7.dylib
  Referenced from: /Applications/PsychoPy2.app/Contents/Resources/lib/python2.7/lib-dynload/_pyo.so
  Reason: Incompatible library version: _pyo.so requires version 10.0.0 or later, but liblo.7.dylib provides version 9.0.0
42.3395 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x10cebddd0>, name='window1', pos=[0, 0], screen=0, size=array([1440,  900]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
42.3396 	EXP 	window1: recordFrameIntervals = False
42.5041 	EXP 	window1: recordFrameIntervals = True
42.6876 	EXP 	window1: recordFrameIntervals = False
42.7754 	EXP 	Created instrText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='instrText', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
42.7910 	EXP 	Created runInstr = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, name='runInstr', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1)
42.7979 	EXP 	Created fixationCross1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='fixationCross1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
42.8098 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'New block is starting', units=u'norm', win=Window(...), wrapWidth=1)
42.8125 	EXP 	Created ibifixationCross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='ibifixationCross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
42.9360 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10a67ef50>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
42.9382 	EXP 	Created rightBox = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-2.0, fillColor=array([ 0.,  1.,  0.]), fillColorSpace='rgb', fillRGB=array([ 0.,  1.,  0.]), interpolate=True, lineColor=array([ 0.,  0.,  0.]), lineColorSpace='rgb', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1, name='rightBox', opacity=1.0, ori=array(0.0), pos=array([ 0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
42.9386 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10a67ef50>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
42.9407 	EXP 	Created leftBox = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-4.0, fillColor=array([ 0.,  0.,  1.]), fillColorSpace='rgb', fillRGB=array([ 0.,  0.,  1.]), interpolate=True, lineColor=array([ 0.,  0.,  0.]), lineColorSpace='rgb', lineRGB=array([ 0.,  0.,  0.]), lineWidth=1, name='leftBox', opacity=1.0, ori=array(0.0), pos=array([-0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
42.9411 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10a67ef50>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
42.9426 	EXP 	Created leftHighlight = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-5.0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor=array([ 0.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 0.,  1.,  1.]), lineWidth=10, name='leftHighlight', opacity=1.0, ori=array(0.0), pos=array([-0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
42.9430 	EXP 	<method-wrapper '__getattribute__' of attributeSetter object at 0x10a67ef50>: vertices = array([[-0.15,  0.25],
       [ 0.15,  0.25],
       [ 0.15, -0.25],
       [-0.15, -0.25]])
42.9448 	EXP 	Created rightHighlight = Rect(autoDraw=False, autoLog=True, closeShape=True, contrast=1.0, depth=-6.0, fillColor=None, fillColorSpace='rgb', fillRGB=None, interpolate=True, lineColor=array([ 0.,  1.,  1.]), lineColorSpace='rgb', lineRGB=array([ 0.,  1.,  1.]), lineWidth=10, name='rightHighlight', opacity=1.0, ori=array(0.0), pos=array([ 0.25,  0.  ]), size=array([ 1.,  1.]), units=u'norm', vertices=ndarray(...), win=Window(...))
42.9557 	EXP 	Created leftAnswerText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-7.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.15, italic=False, name='leftAnswerText', opacity=1.0, ori=0, pos=array([-0.25,  0.  ]), rgb=array([ 0.,  0.,  0.]), text=u'X', units=u'norm', win=Window(...), wrapWidth=1)
42.9601 	EXP 	Created rightAnswerText = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=-8.0, flipHoriz=False, flipVert=False, font='Arial Bold', fontFiles=[], height=0.15, italic=False, name='rightAnswerText', opacity=1.0, ori=0, pos=array([ 0.25,  0.  ]), rgb=array([ 0.,  0.,  0.]), text=u'Y', units=u'norm', win=Window(...), wrapWidth=1)
42.9671 	EXP 	Created L_condition = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-10.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='L_condition', opacity=1.0, ori=0, pos=array([-0.25,  0.32]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
42.9739 	EXP 	Created R_condition = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-11.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='R_condition', opacity=1.0, ori=0, pos=array([ 0.25,  0.32]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
42.9780 	EXP 	Created fixationITIcross = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-12.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='fixationITIcross', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
42.9810 	EXP 	Created fixationCross1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.15, italic=False, name='fixationCross1', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
43.0047 	EXP 	instrText: autoDraw = True
55.5799 	DATA 	Keypress: 1
57.5260 	DATA 	Keypress: space
57.5292 	EXP 	Imported csv/uepP001_1.csv as conditions, 4 conditions, 1 params
57.5297 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
57.5304 	EXP 	New trial (rep=0, index=0): {'runFilename': u'csv/uepP001_run1.csv'}
57.5396 	EXP 	instrText: autoDraw = False
57.5396 	EXP 	runInstr: autoDraw = True
59.6936 	DATA 	Keypress: space
60.7075 	EXP 	runInstr: autoDraw = False
60.7075 	EXP 	fixationCross1: autoDraw = True
70.6937 	EXP 	Imported csv/uepP001_run1.csv as conditions, 4 conditions, 1 params
70.6942 	EXP 	Created sequence: sequential, trialTypes=4, nReps=1, seed=None
70.6947 	EXP 	New trial (rep=0, index=0): {'blockFilename': u'csv/uepP001_run1_block1.csv'}
70.7079 	EXP 	fixationCross1: autoDraw = False
70.7079 	EXP 	fixationCross1: autoDraw = False
70.7079 	EXP 	text: autoDraw = True
73.7083 	EXP 	text: autoDraw = False
73.7083 	EXP 	text: autoDraw = False
73.7083 	EXP 	ibifixationCross: autoDraw = True
76.7162 	EXP 	Imported csv/uepP001_run1_block1.csv as conditions, 10 conditions, 19 params
76.7165 	EXP 	Created sequence: sequential, trialTypes=10, nReps=1, seed=None
76.7171 	EXP 	New trial (rep=0, index=0): {'blockId': 1, 'sd1': 0, 'sd2': 4.0, 'stimOnset': 16.0, 'choiceDuration': 2, 'leftColor': 3, 'itiDuration': 6.3499571267874, 'mu1': 0.0, 'leftAnswer': 0.0, 'trialId': 1, 'condition': u'SR', 'itiOffset': 28.578358538867132, 'mu2': 0.0, 'rightColor': 1, 'subjectId': u'uepP001', 'feedbackDuration': 1, 'runId': 1, 'isiDuration': 3.2284014120797262, 'rightAnswer': 1.0}
76.7426 	EXP 	ibifixationCross: autoDraw = False
76.7426 	EXP 	ibifixationCross: autoDraw = False
76.7426 	EXP 	leftHighlight: opacity = 0.0
76.7426 	EXP 	rightHighlight: opacity = 0.0
76.7426 	EXP 	leftAnswerText: opacity = 0.0
76.7426 	EXP 	rightAnswerText: opacity = 0.0
76.7426 	EXP 	leftAnswerText: text = '0'
76.7426 	EXP 	rightAnswerText: text = '1'
76.7426 	EXP 	fixationITIcross: color = 'white (named)'
76.7426 	EXP 	leftBox: fillColor = (0.33999999999999997, 0.86, 0.50120000000000009)
76.7426 	EXP 	rightBox: fillColor = (0.86, 0.7612000000000001, 0.33999999999999997)
76.7426 	EXP 	L_condition: text = u'S'
76.7426 	EXP 	R_condition: text = u'R'
76.7426 	EXP 	rightBox: autoDraw = True
76.7426 	EXP 	leftBox: autoDraw = True
76.7426 	EXP 	leftHighlight: autoDraw = True
76.7426 	EXP 	rightHighlight: autoDraw = True
76.7426 	EXP 	L_condition: autoDraw = True
76.7426 	EXP 	R_condition: autoDraw = True
78.4973 	DATA 	Keypress: 1
78.5211 	EXP 	window1: recordFrameIntervals = False
78.5437 	EXP 	leftHighlight: opacity = 1
78.5437 	EXP 	leftAnswerText: text = u'0'
78.5437 	EXP 	rightAnswerText: text = u'1'
78.5439 	EXP 	window1: recordFrameIntervals = False
81.7943 	EXP 	leftAnswerText: opacity = 1
81.7943 	EXP 	leftAnswerText: text = u'0'
81.7943 	EXP 	rightAnswerText: text = u'1'
81.7943 	EXP 	leftAnswerText: autoDraw = True
81.7943 	EXP 	rightAnswerText: autoDraw = True
82.7111 	EXP 	rightBox: autoDraw = False
82.7111 	EXP 	leftBox: autoDraw = False
82.7111 	EXP 	leftHighlight: autoDraw = False
82.7111 	EXP 	rightHighlight: autoDraw = False
82.7111 	EXP 	leftAnswerText: autoDraw = False
82.7111 	EXP 	rightAnswerText: autoDraw = False
82.7111 	EXP 	L_condition: autoDraw = False
82.7111 	EXP 	R_condition: autoDraw = False
82.7114 	EXP 	window1: recordFrameIntervals = False
82.7277 	EXP 	fixationITIcross: autoDraw = True
82.7278 	EXP 	window1: recordFrameIntervals = False
88.2652 	EXP 	New trial (rep=0, index=1): {'blockId': 1, 'sd1': 0, 'sd2': 4.0, 'stimOnset': 28.578358538867132, 'choiceDuration': 2, 'leftColor': 3, 'itiDuration': 4.7279289616417843, 'mu1': 0.0, 'leftAnswer': 0.0, 'trialId': 2, 'condition': u'SR', 'itiOffset': 38.096514880167774, 'mu2': 0.0, 'rightColor': 1, 'subjectId': u'uepP001', 'feedbackDuration': 1, 'runId': 1, 'isiDuration': 1.7902273796588657, 'rightAnswer': 6.0}
88.2951 	EXP 	fixationITIcross: autoDraw = False
88.2951 	EXP 	rightBox: autoDraw = False
88.2951 	EXP 	leftBox: autoDraw = False
88.2951 	EXP 	leftHighlight: autoDraw = False
88.2951 	EXP 	rightHighlight: autoDraw = False
88.2951 	EXP 	leftAnswerText: autoDraw = False
88.2951 	EXP 	rightAnswerText: autoDraw = False
88.2951 	EXP 	L_condition: autoDraw = False
88.2951 	EXP 	R_condition: autoDraw = False
88.2951 	EXP 	fixationITIcross: autoDraw = False
88.2951 	EXP 	leftHighlight: opacity = 0.0
88.2951 	EXP 	rightHighlight: opacity = 0.0
88.2951 	EXP 	leftAnswerText: opacity = 0.0
88.2951 	EXP 	rightAnswerText: opacity = 0.0
88.2951 	EXP 	leftAnswerText: text = '0'
88.2951 	EXP 	rightAnswerText: text = '6'
88.2951 	EXP 	fixationITIcross: color = 'white (named)'
88.2951 	EXP 	leftBox: fillColor = (0.33999999999999997, 0.86, 0.50120000000000009)
88.2951 	EXP 	rightBox: fillColor = (0.86, 0.7612000000000001, 0.33999999999999997)
88.2951 	EXP 	L_condition: text = u'S'
88.2951 	EXP 	R_condition: text = u'R'
88.2951 	EXP 	rightBox: autoDraw = True
88.2951 	EXP 	leftBox: autoDraw = True
88.2951 	EXP 	leftHighlight: autoDraw = True
88.2951 	EXP 	rightHighlight: autoDraw = True
88.2951 	EXP 	L_condition: autoDraw = True
88.2951 	EXP 	R_condition: autoDraw = True
88.9652 	DATA 	Keypress: 2
88.9883 	EXP 	window1: recordFrameIntervals = False
89.0119 	EXP 	rightHighlight: opacity = 1
89.0119 	EXP 	leftAnswerText: text = u'0'
89.0119 	EXP 	rightAnswerText: text = u'6'
89.0121 	EXP 	window1: recordFrameIntervals = False
90.8289 	EXP 	rightAnswerText: opacity = 1
90.8289 	EXP 	leftAnswerText: text = u'0'
90.8289 	EXP 	rightAnswerText: text = u'6'
90.8289 	EXP 	leftAnswerText: autoDraw = True
90.8289 	EXP 	rightAnswerText: autoDraw = True
91.7292 	EXP 	window1: recordFrameIntervals = False
91.7457 	EXP 	rightBox: autoDraw = False
91.7457 	EXP 	leftBox: autoDraw = False
91.7457 	EXP 	leftHighlight: autoDraw = False
91.7457 	EXP 	rightHighlight: autoDraw = False
91.7457 	EXP 	leftAnswerText: autoDraw = False
91.7457 	EXP 	rightAnswerText: autoDraw = False
91.7457 	EXP 	L_condition: autoDraw = False
91.7457 	EXP 	R_condition: autoDraw = False
91.7457 	EXP 	fixationITIcross: autoDraw = True
91.7460 	EXP 	window1: recordFrameIntervals = False
97.7664 	EXP 	New trial (rep=0, index=2): {'blockId': 1, 'sd1': 0, 'sd2': 4.0, 'stimOnset': 38.096514880167774, 'choiceDuration': 2, 'leftColor': 3, 'itiDuration': 3.7196115163994943, 'mu1': 0.0, 'leftAnswer': 0.0, 'trialId': 3, 'condition': u'SR', 'itiOffset': 49.17870272335206, 'mu2': 0.0, 'rightColor': 1, 'subjectId': u'uepP001', 'feedbackDuration': 1, 'runId': 1, 'isiDuration': 4.3625763267847875, 'rightAnswer': -6.0}
97.7963 	EXP 	fixationITIcross: autoDraw = False
97.7963 	EXP 	rightBox: autoDraw = False
97.7963 	EXP 	leftBox: autoDraw = False
97.7963 	EXP 	leftHighlight: autoDraw = False
97.7963 	EXP 	rightHighlight: autoDraw = False
97.7963 	EXP 	leftAnswerText: autoDraw = False
97.7963 	EXP 	rightAnswerText: autoDraw = False
97.7963 	EXP 	L_condition: autoDraw = False
97.7963 	EXP 	R_condition: autoDraw = False
97.7963 	EXP 	fixationITIcross: autoDraw = False
97.7963 	EXP 	leftHighlight: opacity = 0.0
97.7963 	EXP 	rightHighlight: opacity = 0.0
97.7963 	EXP 	leftAnswerText: opacity = 0.0
97.7963 	EXP 	rightAnswerText: opacity = 0.0
97.7963 	EXP 	leftAnswerText: text = '0'
97.7963 	EXP 	rightAnswerText: text = '-6'
97.7963 	EXP 	fixationITIcross: color = 'white (named)'
97.7963 	EXP 	leftBox: fillColor = (0.33999999999999997, 0.86, 0.50120000000000009)
97.7963 	EXP 	rightBox: fillColor = (0.86, 0.7612000000000001, 0.33999999999999997)
97.7963 	EXP 	L_condition: text = u'S'
97.7963 	EXP 	R_condition: text = u'R'
97.7963 	EXP 	rightBox: autoDraw = True
97.7963 	EXP 	leftBox: autoDraw = True
97.7963 	EXP 	leftHighlight: autoDraw = True
97.7963 	EXP 	rightHighlight: autoDraw = True
97.7963 	EXP 	L_condition: autoDraw = True
97.7963 	EXP 	R_condition: autoDraw = True
98.4502 	DATA 	Keypress: 2
98.4735 	EXP 	window1: recordFrameIntervals = False
98.4965 	EXP 	rightHighlight: opacity = 1
98.4965 	EXP 	leftAnswerText: text = u'0'
98.4965 	EXP 	rightAnswerText: text = u'-6'
98.4966 	EXP 	window1: recordFrameIntervals = False
102.8806 	EXP 	rightAnswerText: opacity = 1
102.8806 	EXP 	leftAnswerText: text = u'0'
102.8806 	EXP 	rightAnswerText: text = u'-6'
102.8806 	EXP 	leftAnswerText: autoDraw = True
102.8806 	EXP 	rightAnswerText: autoDraw = True
103.7975 	EXP 	rightBox: autoDraw = False
103.7975 	EXP 	leftBox: autoDraw = False
103.7975 	EXP 	leftHighlight: autoDraw = False
103.7975 	EXP 	rightHighlight: autoDraw = False
103.7975 	EXP 	leftAnswerText: autoDraw = False
103.7975 	EXP 	rightAnswerText: autoDraw = False
103.7975 	EXP 	L_condition: autoDraw = False
103.7975 	EXP 	R_condition: autoDraw = False
103.7977 	EXP 	window1: recordFrameIntervals = False
103.8140 	EXP 	fixationITIcross: autoDraw = True
103.8141 	EXP 	window1: recordFrameIntervals = False
